year,Sector_Name,sector,value
2018,Accommodation,p5.2.3,9239
2018,"Finance and insurance, real estate and business services",p5.3,152834
2018,Finance,p5.3.1,66485
2018,Monetary intermediation,p5.3.1.1,56116
2018,Other financial intermediation and activities auxiliary to finance,p5.3.1.2,10369
2018,Insurance,p5.3.2,22604
2018,Insurance and pension funding,p5.3.2.1,21974
2018,Activities auxiliary to insurance,p5.3.2.2,629
2018,Real estate,p5.3.3,20381
2018,Business services,p5.3.4,43364
2018,"Professional, scientific and technical ",p5.3.4.1,29800
2018,Administrative and support services,p5.3.4.2,13564
2018,Other services,p5.4,67170
2018,Private health services,p5.4.1,9504
2018,Private education services,p5.4.2,11156
2018,Owner-occupied dwellings,p5.4.3,30131
2018,Non-profit institutions serving households,p5.4.4,354
2018,Domestic services of households,p5.4.5,1227
2018,Other services not elsewhere classified,p5.4.6,14798
2018,Government services,p5.5,114891
2018,General public services,p5.5.01,14724
2018,Defence,p5.5.02,7910
2018,Public order and safety,p5.5.03,10438
2018,Economic affairs,p5.5.04,14401
2018,Environmental protection,p5.5.05,322
2018,Housing and community amenities,p5.5.06,2410
2018,Health,p5.5.07,16577
2018,"Recreation, culture and religion",p5.5.08,1711
2018,Education,p5.5.09,44296
2018,Social protection,p5.5.10,2102
2018,Import duties,p6,16546
2019,Agriculture,p1,101573
2019,Crops,p1.1,67610
2019,Rubber,p1.1.1,3002
2019,Oil palm,p1.1.2,38239
2019,Paddy,p1.1.3,2363
2019,Vegetables,p1.1.4,11374
2019,Fruits,p1.1.5,4760
2019,Food crops,p1.1.6,6694
2019,Others ,p1.1.7,1178
2019,Livestock,p1.2,15459
2019,Poultry,p1.2.1,9267
2019,Cattle,p1.2.2 ,1101
2019,Other livestocks,p1.2.3,5091
2019,Forestry and logging,p1.3,6382
2019,Fishing,p1.4,12122
2019,Marine fishing,p1.4.1,8054
2019,Aquaculture,p1.4.2,4068
2019,Mining and quarrying,p2,102887
2019,Crude oil and condensate,p2.1,42460
2019,Natural gas ,p2.2,50643
2019,Other mining & quarrying and supporting services,p2.3,9784
2019,Manufacturing,p3,316283
2019,"Minyak dan lemak daripada sayuran & haiwan, prosesan makanan, minuman dan produk tembakau",p3.1,39629
2019,Vegetable and animal oils & fats,p3.1.1,13178
2019,Food processing,p3.1.2,17270
2019,Beverages,p3.1.3,5282
2019,Tobacco products,p3.1.4,3899
2019,"Tekstil, pakaian dan produk kulit",p3.2,6252
